parent_asin,sentence_id,sentence_text,rating,aspects,sentiments,category_name
B000GCFBUG,2,i enjoyed this novel because it was a great mix of interesting characters many of whom have competing interests,4.0,"[""novel"", ""mix"", ""characters""]","[2, 2, 2]",kindle_store
B09772FZTX,1,i then tested it by playing tetris effect a game that requires precise and fast tapping of buttons but the controller could not keep up,1.0,"[""controller""]",[0],electronics_p2
B0B1M6Q6XC,20,my ipad has remained pristine,5.0,[],[],electronics_p2
B00L0YLRUW,2,added to comcast wifi to extend range has good range,5.0,"[""range""]",[2],electronics_p1
B07CZ6DCZ7,6,i went back to using the headphone output from my edirol monitors because this headphone amp sounded terrible,1.0,"[""headphone amp""]",[0],electronics_p2
B00CAZ04MW,2,other than that pretty well built phone works well with voisip cloud pbx pretty easy to program and use,3.0,"[""phone"", ""phone"", ""phone""]","[""2"", ""2"", ""2""]",office_products
B0B3MX7LVG,3,if you snatch the tape off it definitely will pull paint off of your wall but permanently stuck to my wall where moving was impossible,2.0,[],[],office_products
B00NG7JVSQ,8590223247,if turbotax was so inclined im sure they could have found a [GENERIC_NOUN] to establish [GENERIC_NOUN] consistency without crippling their alleged 34deluxe34 [GENERIC_NOUN] and creating a 34bait and switch34 scenario for many of their customers,1.0,[],[],software
B006SBBNV0,1,great features included these phones do the job,5.0,[],[],office_products
B09QD52KWF,2,this book was such a fun read and pulled me out of my slump,4.0,"[""book"", ""book""]","[2, 2]",kindle_store
B00QPP7N4U,3,the glass itself seems well manufactured and thin but i can not seem to get it onto my ipad without bubbles,3.0,"[""glass"", ""glass"", ""glass""]","[2, 2, 0]",electronics_p2
B07Z9LCVCS,2,our router signal just did nt make it across our entire house,5.0,"[""router signal""]",[0],electronics_p2
B0BCTG71RQ,4,br i used a msi b360 mortar mb with an i5 8400 16gb crucial ddr4 2666 sabrent pcie nvme 500gb seagate 1tb 7200rpm msi rx570 gddr5 4gb open [DOMAIN_NOISE] thermaltake 500w ps,5.0,[],[],electronics_p1
B00BS3UFCQ,34359955601,guess the movie is very entertaining,5.0,[],[],software
B01N5YESHO,34360102296,the storyline was very good also in this game,5.0,"[""storyline""]",[2],software
B07YBNHRYX,1,favorite pens in office these are now the favorite pens in the office,4.0,[],[],office_products
B06VWS336R,85899405339,slight p2w but what mobile game isnt like that,5.0,[],[],software
B000T8THL6,3,i paid extra for the lightscribe ability only to be totally disappointed,1.0,"[""lightscribe ability""]",[0],electronics_p1
B09G2SFXSZ,2,no [GENERIC_NOUN] what power supply we plug it into even the anker usb neither cord works properly,3.0,"[""cord""]",[0],electronics_p1
B000A2K4NG,1,[DOMAIN_NOISE] sells the 100 print pack are 30,5.0,[],[],office_products
B002GEDEJM,1,amazing book but the requiremnts o b able o throw wa insane,5.0,"[""book"", ""requirements""]","[2, 0]",kindle_store
B09M53TZ7H,1,apache al 13 13 laminator hotcold for documents or photos so far it works great for what i have been using it for,5.0,"[""apache al 13 13 laminator""]","[""2""]",office_products
B07KQWX947,48,great sound,2.0,"[""sound""]",[2],electronics_p2
B0BK6WLS36,4,when we speak on cellphones our voice gets manic and highpitched,5.0,"[""voice""]",[0],electronics_p2
B07HC7M81W,1,i loved the relationship between noah and jjcant wait to read about rj,5.0,"[""relationship"", ""rj""]","[2, 2]",kindle_store
B01CL2LYMM,1,daughter loves it,5.0,"[""daughter""]","[""2""]",office_products
B07L9M1LKQ,11,and in the [GENERIC_NOUN] of recording a tape the record head is before the read head thus you could monitor the output from the tape deck as you recorded the on the tape,5.0,[],[],electronics_p1
B075PVNG2S,3,white this story is ashs my heart bled for embry to the [GENERIC_NOUN] of tears within the first 30 the tragedy of their love is just so real,5.0,"[""tragedy""]",[2],kindle_store
B001N84M2A,1,they informed me that the price i paid for my laptop would be forward to me,5.0,[],[],electronics_p1
B019R2QU4G,1,the finish on all is well above the norm and they are made well enough to be used for heavy use,5.0,"[""finish""]",[2],electronics_p1
B09YDHLYRL,1,great battery life the only [GENERIC_NOUN] is ofcourse having to disconnect from the speaker to allow another phone to connect sometimes that takes a minute but it works well,5.0,"[""battery life"", ""speaker""]","[2, 2]",electronics_p1
B00WV88Z7Y,77309609099,fire 10 doesnt work for this device,1.0,"[""fire 10""]",[0],software
B00DJFIMW6,397101,fun fun fun my grandson loves it,4.0,[],[],software
B0015AB6DO,4,rubber earbuds do nt come off easily a good [GENERIC_NOUN],5.0,"[""rubber earbuds""]",[2],electronics_p2
B00U2MF8WG,1,it was most humbling and emotional to retrace the steps of those fine patriots who literally fought for our freedom,4.0,[],[],kindle_store
B0C1CPTMG9,12,this computer is great for everyday use it has the perfect specs for just browsing the internet and watching videos at a good speed and loads up applications pretty quick,4.0,"[""computer"", ""specs"", ""speed"", ""applications""]","[2, 2, 2, 2]",electronics_p2
B086P836K4,2,teachers look elsewhere,1.0,[],[],office_products
B00N28818A,204305,always have the same movies,1.0,[],[],software
B08J7XM7KL,1,perfect size not too big,5.0,"[""size""]","[""1""]",office_products
B07MTQWQ7X,1,awesome system ever needed to take notes and then rearrange them but a regular notebook binder break and are too large,4.0,[],[],office_products
B0093I952O,6,vx520 uses smaller rolls than vx510 now with more wasted paper from above report [GENERIC_NOUN] causing an even higher cost of operation,3.0,"[""vx520"", ""vx510"", ""cost of operation""]","[""0"", ""0"", ""0""]",office_products
B0BPLTFGM6,12,the software failed several [GENERIC_NOUN] to configure the camera,1.0,"[""software""]",[0],electronics_p1
B083J85NTD,1,gps mount [GENERIC_NOUN] is [DOMAIN_NOISE] for my original mount that was broken after many [GENERIC_NOUN] of use,5.0,[],[],electronics_p1
B00O4RRHP6,1,doesn t not accept the window blinds ir,3.0,[],[],electronics_p1
B00ESEXFGU,103079330891,great job on devoloping,5.0,[],[],software
B00FKJK9S4,3,envy and intrigue pepper this story that made me ponder my own belief in what awaits in the hereafter,5.0,"[""story"", ""story""]","[2, 2]",kindle_store
B09KP35J9S,3,the e book had a number of grammatical errors and typos,4.0,"[""e book"", ""e book""]","[0, 0]",kindle_store
B0C8BLGMCF,1,and i also draw on my coworkers white boards so these make my designs super detailed,5.0,[],[],office_products
B07PGC2Z3S,3,the next story should be amazing since this book is a set up for the next book in the series,5.0,[],[],kindle_store
B0035X1EC2,2,recomendado uso diario y viajes al campo lo compr inicialmente como radio para emergencias pero termin usandolo todo el tiempo buena duraci n de las bater as que son ventaja al ser doble a aa,4.0,"[""duración de las baterías"", ""baterías""]","[2, 2]",electronics_p2
B07VVJ3LZM,2,i love the lightweight and the durability of the tripod,5.0,"[""lightweight"", ""durability""]","[2, 2]",electronics_p2
B006COU224,1,clock feature instant weather instant 9 and 19 at push button are all really nice,5.0,"[""clock feature"", ""instant weather""]","[2, 2]",electronics_p2
B003MOKUIS,1,panasonic range extender really works this extender was easy to set up and delivers a strong signal with excellent tone to the far end of a large steelframed house,5.0,"[""range extender"", ""extender"", ""extender"", ""extender""]","[""2"", ""2"", ""2"", ""2""]",office_products
B00WSLYQ7C,49,the 280s exert more pressure around your head,5.0,"[""280s""]",[0],electronics_p2
B0BZ7768GW,2,the android hifi sound really enhances the overall listening [GENERIC_NOUN],5.0,"[""android hifi sound""]",[2],electronics_p1
B00HX788PW,68719479476,four [GENERIC_NOUN] toddler loved it until the next game,4.0,[],[],software
B00Z7RPY2U,21,the made it beautiful i do nt like the [GENERIC_NOUN] the microphone head jack extension was made,5.0,"[""microphone head jack extension""]",[0],electronics_p2
B001SQS7KU,1,leaky love the flavor however the cream leaked out all over the [DOMAIN_NOISE],3.0,"[""flavor"", ""cream""]","[""2"", ""0""]",office_products
B07456BG8N,74,i was able to connect my ring device awesome device,5.0,"[""ring device"", ""device""]","[2, 2]",electronics_p2
B013HOK0LY,8590180943,the only complaint i have is that some of the pictures are used in more than [GENERIC_NOUN] game and not always for the same word,4.0,"[""pictures""]",[0],software
B0066TUXU6,17180125857,its great being able to catch up on missed episodes and their selection of available movies augments other online services quite nicely,5.0,"[""selection of available movies""]",[2],software
B08JV8NB1Z,6,however [GENERIC_NOUN] key feature is lacking,4.0,"[""key feature""]",[0],electronics_p2
B0082ES3L4,2,i ve played with external evf s on a few cameras and this [GENERIC_NOUN] is the closest to real [GENERIC_NOUN] i ve seen,5.0,"[""external evf""]",[2],electronics_p1
B08GNRGB67,4,i can t take it anymore,1.0,[],[],electronics_p1
B08K8W68BX,2,the value and quality are amazing,5.0,"[""value"", ""quality""]","[2, 2]",electronics_p2
B0BYFHJWHC,1,es m s lindo la decisi n de los colores,5.0,"[""colores""]",[2],electronics_p2
B01MT3H3XS,1,the markers eraser and magnets that came with it are also great quality,5.0,"[""markers"", ""eraser"", ""magnets""]","[""2"", ""2"", ""2""]",office_products
B00C57PN6W,2,very nice built nice sound feels somewhat premium and very carryable which is great,5.0,"[""build"", ""sound"", ""feel"", ""portability""]","[2, 2, 2, 2]",electronics_p2
B07YVV61MT,2,my favorite feature super easy call blocking,5.0,"[""feature""]","[""2""]",office_products
B086G89ZD3,4,what stands out to me is the [GENERIC_NOUN] this story all though set in the future occupied earth reflects all that is going on in world today with viruses and racial inequality,5.0,"[""story""]",[2],kindle_store
B00UT3O46E,2,but this mount makes the task a breeze,5.0,"[""mount""]",[2],electronics_p1
B08P9B4PCQ,2,the [DOMAIN_NOISE] was only 12 what i paid,1.0,[],[],office_products
B07CSG79QX,2,no adhesive on envelopes the envelopes had 0 glue on them so had to tape them shut,4.0,"[""envelopes"", ""envelopes""]","[""0"", ""0""]",office_products
B003C1AO2I,12,i also must add i shopped around for a long [GENERIC_NOUN] trying all the sound bars available at the local frys and best buy i was only looking in the 150400 dollar range,5.0,[],[],electronics_p2
B07KD63NJC,4,works great having 64gb of storage is great,5.0,"[""storage""]",[2],electronics_p1
B0C4KLM3K5,1,magnetic sturdy has hooks magnets etc,5.0,[],[],office_products
B016XEGI16,2,[GENERIC_NOUN] of my 34cards34 is paper so the top of the paper card gets very bent even with the slight bow cut opening in the top of the sleeve to make grabbing the card easier,2.0,"[""paper card""]","[""0""]",office_products
B01N4IOQP6,8,br br save your hard earned money and purchase a different system,3.0,[],[],electronics_p1
B009UX2YAC,659400,grandson has fun playing,3.0,[],[],software
B00IAQ3RJM,25769959673,great game what a fun game,5.0,"[""game"", ""game""]","[2, 2]",software
B00CBFYPQC,1,loved all the characters in the book,5.0,"[""characters"", ""book""]","[2, 2]",kindle_store
B07CGNSWMC,34359947157,quality easy to set up great pictures,5.0,"[""quality"", ""pictures""]","[2, 2]",software
B09MF25SCF,2,br for the price is fair good sound quality fit well and also good battery,5.0,"[""price"", ""sound quality"", ""battery""]","[1, 2, 2]",electronics_p1
B01KPGFQ4I,1,really enjoyed the book and looking forward to more in the series,5.0,"[""book""]",[2],kindle_store
B0178YB810,6,when that [GENERIC_NOUN] happens,5.0,[],[],kindle_store
B08QKQT6G8,4,ok but i have found better a [GENERIC_NOUN] of an odd design in that the handle comes up through the back zipper area also wheel base a little narrow and is prone to tipping,3.0,"[""design"", ""handle"", ""wheel base"", ""wheel base""]","[0, 0, 0, 0]",electronics_p2
B01GQE49E6,3,and the little [GENERIC_NOUN] of angst seemed forced but sometimes you want fluffy romance,4.0,"[""angst"", ""romance""]","[0, 2]",kindle_store
B0001FTVB8,9,the users try to remember to leave it on the charger every third night see comments below about this and so far the batteries are alive and well,4.0,[],[],office_products
B00FCLG65U,2,i cannot get my ssd to be recognized once installed inside this [GENERIC_NOUN] while it does work if directly connected internally in my computer,2.0,"[""ssd""]",[1],electronics_p1
B0BS1Q6VP2,1,my only complaint is my kids seem to lose it like the original too,5.0,[],[],electronics_p1
B00PVD81MK,4,after my initial installation i had [GENERIC_NOUN] with it rebooting every couple of minutes after it downloaded and installed an update and had to eventually reset the router and once i did it has been working great for over 2 [GENERIC_NOUN] now no [GENERIC_NOUN] since and would give it 5 [GENERIC_NOUN] for performance,3.0,"[""router"", ""router"", ""performance""]","[0, 2, 2]",electronics_p2
B00G6SQJ46,4,i like this ipad cover i like this ipad cover,5.0,"[""ipad cover""]",[2],electronics_p2
B00009RTBY,3,but for real its the real deal,5.0,[],[],electronics_p2
B07YNDN9JT,1,better sound too didn t not hear other noises in the gym,5.0,"[""sound"", ""other noises in the gym""]","[2, 2]",electronics_p1
B09HCCVRHL,3,i also appreciate that the buttons to pause ff rewind are actual buttons and not just a touch feature because i don t like pausing my music anytime i want to adjust my headphones,5.0,[],[],electronics_p1
B0189B9KQ6,94489300017,some of the videos are short like 8 to 10 minutes and others are longer,4.0,[],[],software
B00139XOCI,24,br br enjoy,5.0,[],[],electronics_p2
B00Q9YBO88,1,worst arduino board ever purchased absolutely do not buy this board,1.0,"[""arduino board""]",[0],electronics_p1
B0CJ8TY5FT,16,very good [GENERIC_NOUN] for the price good quality very good camera good quality video,5.0,"[""camera"", ""video""]","[2, 2]",electronics_p2
B086HFXXCX,2,this follow up to still out there is a painful but necessary reminder that human trafficking is not just an other people or third world [GENERIC_NOUN] sadly it is alive and well in small local communities as well and even having a private investigator for an unofficial big sister does not make [GENERIC_NOUN] immune to the danger,4.0,[],[],kindle_store
B018GVE3KM,2,the envelopes were very thin but did make it across country intact,5.0,[],[],office_products
B0BNWJFMHD,1,i got this paper cheaper than i could at any local store i priced it at in my area,5.0,[],[],office_products
B003KK5DZE,2,glad to see it in digital format,5.0,[],[],kindle_store
B089CPBVMT,3,build quality is excellent and these have stood up to several [GENERIC_NOUN] of broadcast use and should survive several more [GENERIC_NOUN],5.0,"[""build quality""]",[2],electronics_p2
B01CZ94YAK,1,but the reception improves when you increase the volume,1.0,"[""reception""]",[2],electronics_p1
B00G2HX6OW,1,remotes kinda cheap but projectors do a great job,5.0,"[""remotes"", ""projectors""]","[0, 2]",electronics_p2
B073VN6RZQ,8,if sex is all youre looking for this book will more than meet your expectations,5.0,"[""book""]",[2],kindle_store
B00E81O27Y,821646,rapides se ve nitido,5.0,"[""rapides""]",[2],software
B07H4PVKFL,34359936461,helps me out a [GENERIC_NOUN],5.0,[],[],software
B01E7VZHA0,2,even thought dream waters touches on a tough topic the [GENERIC_NOUN] the story intertwines and takes you on a journey you feel like you are [GENERIC_NOUN] of the characters,5.0,[],[],kindle_store
B07TJ1NYMH,1,these babies are strong,5.0,[],[],office_products
B00SNS435O,1,calculadora grafica el pedido llego a tiempo y en perfecto estado,5.0,"[""calculadora grafica"", ""calculadora grafica""]","[""2"", ""2""]",office_products
B01N0QH5L4,42949818660,constant crashes expensive addons,1.0,"[""constant"", ""addons""]","[0, 0]",software
B08MC453D1,1,works perfectly with my roku streaming stick i need this to allow use of my roku streaming stick in a very tight location,5.0,"[""compatibility""]",[2],electronics_p2
B09NBDBMJK,2,if it s not correctly aligned you don t get the best of it,2.0,[],[],electronics_p1
B07ZN4QVBL,1,the horn is sharp pokey and just gets in the [GENERIC_NOUN],2.0,"[""horn""]",[0],electronics_p1
B00992CF6W,2043,i hope u read this comment and reply and answer all those unhappy customers so please update,1.0,[],[],software
B002MQYOFW,2,i recommend this book to [GENERIC_NOUN] who likes to read awesome books,5.0,[],[],kindle_store
