parent_asin,sentence_id,sentence_text,rating,triplets,category_name,triplets_parsed,gold_aspects,has_aspect
B00XHWBDYU,27,br br the dock portion itself includes 4 trays that you can interchange to get an exact fit for the model of ipod you own,4.0,[],electronics_p1,[],[],False
B09Y2JFK4Q,1,colorful love these labels,5.0,"[['labels', 'love', '2']]",office_products,"[['labels', 'love', '2']]",['labels'],True
B078VP8D9C,3,she does so while showing the love heart endurance friendships and bravery of the characters while sticking to the facts and making history interesting for all to read,4.0,"[[""characters"", ""showing love heart endurance friendships bravery"", 2], [""history"", ""making interesting"", 2]]",kindle_store,"[['characters', 'showing love heart endurance friendships bravery', 2], ['history', 'making interesting', 2]]","['characters', 'history']",True
B008HVN9GG,11,two other pockets in the center accept business cards,5.0,[],office_products,[],[],False
B07BLKHQK6,1,solid feel and works with light touch,5.0,"[[""feel"", ""solid"", 2], [""touch"", ""works with light touch"", 2]]",electronics_p2,"[['feel', 'solid', 2], ['touch', 'works with light touch', 2]]","['feel', 'touch']",True
B0BN5NJNQQ,1,love color fits perfectly,4.0,"[[""color"", ""perfectly"", 2]]",electronics_p1,"[['color', 'perfectly', 2]]",['color'],True
B0B69GHNHJ,1,crane is the stationery,5.0,[],office_products,[],[],False
B008C2MO0C,9,for instance you can t click on start to get to normal regular [GENERIC_NOUN] right at my finger tips as i can do on the windows 7,1.0,[],electronics_p1,[],[],False
B005S4YK22,103079365152,id recommend buy it again,5.0,[],software,[],[],False
B08GX13XW2,1,sturdy has many holders enjoy using it for my purse to have all my credit cards handy and business cards available when i need them,4.0,"[['holders', 'enjoy using', '2'], ['purse', 'have all my credit cards handy', '2'], ['purse', 'have business cards available', '2']]",office_products,"[['holders', 'enjoy using', '2'], ['purse', 'have all my credit cards handy', '2'], ['purse', 'have business cards available', '2']]","['holders', 'purse']",True
B0BCJKKZD4,7,great [GENERIC_NOUN],5.0,[],electronics_p2,[],[],False
B01L1AG1WS,1,but it will be nicer if each single layer can be wider to hold more,5.0,"[['layer', 'nicer', '2'], ['layer', 'wider', '2'], ['layer', 'hold more', '2']]",office_products,"[['layer', 'nicer', '2'], ['layer', 'wider', '2'], ['layer', 'hold more', '2']]",['layer'],True
B00VXK8HMO,1,the inserts do not stay in place at all i,2.0,"[['inserts', 'do not stay in place at all', 0]]",electronics_p2,"[['inserts', 'do not stay in place at all', 0]]",['inserts'],True
B00B8IGZYS,94489362846,best spades game i have tried a number of spades apps and most of them are stupid,5.0,"[['spades game', 'best', 2], ['spades apps', 'stupid', 0]]",software,"[['spades game', 'best', 2], ['spades apps', 'stupid', 0]]","['spades game', 'spades apps']",True
B00E257ZXY,1,fairly thorough description of the [GENERIC_NOUN] the sub genre has evolved over [GENERIC_NOUN],4.0,[],kindle_store,[],[],False
B08D356XB6,16,quality is lacking i love kensington trackballs and had high hopes for the fusion orbit,2.0,"[['quality', 'lacking', 0]]",electronics_p2,"[['quality', 'lacking', 0]]",['quality'],True
B08NC1LM49,3,if the perforated pages dont bother you then this will be worth every penny,3.0,"[['perforated pages', 'dont bother', '2']]",office_products,"[['perforated pages', 'dont bother', '2']]",['perforated pages'],True
B009RPTFIC,1,maggie thom's captured lies is a suspenseful thrill of a ride and should be on your summer read list,4.0,"[[""maggie thom's captured lies"", ""suspenseful thrill of a ride"", 2]]",kindle_store,"[[""maggie thom's captured lies"", 'suspenseful thrill of a ride', 2]]","[""maggie thom's captured lies""]",True
B00B0VYCL6,103079310002,im sure mommy and daddy were trying to teach her some responsibility by buying her her own restaurant but apparently this little test has failed miserably,2.0,"[['restaurant', 'failed miserably', 0]]",software,"[['restaurant', 'failed miserably', 0]]",['restaurant'],True
B07TFCW9PL,1,great for grandparents and family no assembly required,5.0,"[['grandparents', 'great', '2'], ['family', 'great', '2'], ['assembly', 'no assembly', '2']]",office_products,"[['grandparents', 'great', '2'], ['family', 'great', '2'], ['assembly', 'no assembly', '2']]","['grandparents', 'family', 'assembly']",True
B004BDOJEK,12,the contrast of ordinary woman extraordinary circumstances has more meaning in the lily bard' series than any other of charlaine's works,5.0,[],kindle_store,[],[],False
B0C5MF2LCQ,2,they do the trick to charge your phone ipad but don t expect a fast or lightning charge,4.0,"[ [""charge"", ""don't expect "", 1]]",electronics_p1,"[['charge', ""don't expect "", 1]]",['charge'],True
B07GVBGNB8,7,it is essentially a warm [GENERIC_NOUN] of pie and a cup of hot tea rolled up into a comforting story,4.0,[],kindle_store,[],[],False
B01CBV2K8U,831236,my main complaint is the fish tanks are too difficult to complete and rewards could be better,4.0,"[['fish tanks', 'too difficult', 0], ['rewards', 'could be better', 1]]",software,"[['fish tanks', 'too difficult', 0], ['rewards', 'could be better', 1]]","['fish tanks', 'rewards']",True
B00JHOVWO8,1,four [GENERIC_NOUN] not easy to place phone in dock otherwise its a very decent [GENERIC_NOUN],4.0,"[[""dock"", ""not easy to place phone in"", 0]]",electronics_p2,"[['dock', 'not easy to place phone in', 0]]",['dock'],True
B09ZLMFPPM,2,br br other features i likebr the rubberized housing on the plugs seems more durable than some of the hollowplastic ends i ve seen on other adaptersbr having a length of cord between the two ends places less strain on my laptops usb ports than an adapter with a formfactor more akin to an older thumbdrivebr since i merely need a serial port to plugin the nullmodem or serial cables that ship with various [GENERIC_NOUN] of hardware i appreciate that this has only a short cord rather than others that are needlessly long,5.0,"[[""housing on the plugs"", ""more durable"", 2], [""length of cord"", ""places less strain on my laptops usb ports"", 2], [""short cord"", ""appreciate"", 2]]",electronics_p2,"[['housing on the plugs', 'more durable', 2], ['length of cord', 'places less strain on my laptops usb ports', 2], ['short cord', 'appreciate', 2]]","['housing on the plugs', 'length of cord', 'short cord']",True
B0B4WNJT4G,3,the ink looks very nice on paper dries quickly but doesnt dry in your pens reservoir,5.0,"[['ink', 'looks very nice', '2'], ['ink', 'dries quickly', '2'], ['ink', 'doesnt dry in your pens reservoir', '0']]",office_products,"[['ink', 'looks very nice', '2'], ['ink', 'dries quickly', '2'], ['ink', 'doesnt dry in your pens reservoir', '0']]",['ink'],True
B087D9VRGC,2,decent speaker i needed a new speaker because my jbl flip 4 would not hold a charge,4.0,"[[""speaker"", ""decent"", 1]]",electronics_p1,"[['speaker', 'decent', 1]]",['speaker'],True
B00DUGK6LY,2,share the joy these cards are very pretty,5.0,"[['cards', 'very pretty', '2']]",office_products,"[['cards', 'very pretty', '2']]",['cards'],True
B017QS4E8M,2,bad instructions needs to have better instructions,3.0,"[['instructions', 'bad', '0'], ['instructions', 'better', '2']]",office_products,"[['instructions', 'bad', '0'], ['instructions', 'better', '2']]",['instructions'],True
B00OLCWPH4,3,photo resolution is excellent,4.0,"[[""photo resolution"", ""excellent"", 2]]",electronics_p1,"[['photo resolution', 'excellent', 2]]",['photo resolution'],True
B008K6HN8I,25769879074,help assistant couldnt help me with this app,1.0,"[['assistant', 'couldnt help', 0], ['app', 'couldnt help', 0]]",software,"[['assistant', 'couldnt help', 0], ['app', 'couldnt help', 0]]","['assistant', 'app']",True
B08NJBR65J,1,binding is solid too it has been living in my backpack and has held up fine,5.0,"[['binding', 'solid', '2'], ['binding', 'held up fine', '2']]",office_products,"[['binding', 'solid', '2'], ['binding', 'held up fine', '2']]",['binding'],True
B094VGTBM4,1,i have lowpile berber carpet and this mat allows my desk chair to roll freely,5.0,"[['mat', 'allows my desk chair to roll freely', '2']]",office_products,"[['mat', 'allows my desk chair to roll freely', '2']]",['mat'],True
B00MV9EL6M,51539691637,loved this price,5.0,"[['price', 'loved', 2]]",software,"[['price', 'loved', 2]]",['price'],True
B0BZLBL1L9,1,a good 5port switch,5.0,"[[""5port switch"", ""good"", 2]]",electronics_p2,"[['5port switch', 'good', 2]]",['5port switch'],True
B007JGBSCC,9,the surface feels more like glass and it s definitely a great improvement over the original shield,1.0,[],electronics_p1,[],[],False
B017250D16,371843,gracias good,5.0,[],software,[],[],False
B07WHNJ9H8,4,br there is [GENERIC_NOUN] i found odd that certain angles on the pen will make this sound and feel as if its scratching up the screen like tiny grains of sand,3.0,[],electronics_p1,[],[],False
B07FL4T5VJ,2,i got this [GENERIC_NOUN] to make sure my id badge would not accidentally get lost but,5.0,[],office_products,[],[],False
B0B8RSKT46,4,the colors already matched the colors on my other monitors,4.0,"[[""colors"", ""matched"", 2]]",electronics_p1,"[['colors', 'matched', 2]]",['colors'],True
B000XBI3JQ,2,just ok display is easy to see functionality is good,3.0,"[['display', 'easy to see', '2'], ['functionality', 'good', '2']]",office_products,"[['display', 'easy to see', '2'], ['functionality', 'good', '2']]","['display', 'functionality']",True
B00UTPQB8G,1,can not wait to read more from this talented author,5.0,"[[""author"", ""talented"", 2]]",kindle_store,"[['author', 'talented', 2]]",['author'],True
B00006JQ06,7,the best pocket radio i have ever had so much has been written about this so i will be brief,5.0,"[[""pocket radio"", ""best"", 2]]",electronics_p1,"[['pocket radio', 'best', 2]]",['pocket radio'],True
B00G8EK9T4,1,can not wait to read more in the series,5.0,[],kindle_store,[],[],False
B075X8471B,1,four [GENERIC_NOUN] really enjoy our fire stick,4.0,"[[""fire stick"", ""enjoy"", 2]]",electronics_p1,"[['fire stick', 'enjoy', 2]]",['fire stick'],True
B071DSP6D6,2,i admire rose for telling her story and for being on the forefront of the me too movement,5.0,"[[""rose"", ""admire"", 2]]",kindle_store,"[['rose', 'admire', 2]]",['rose'],True
B08GPJYPXD,3,the pace 2 also seems reasonably accurate with nice functionality and it synchs very easily with my iphone and strava,3.0,"[[""accuracy"", ""reasonably accurate"", 2], [""functionality"", ""nice"", 2], [""syncing with my iphone and strava"", ""very easily"", 2]]",electronics_p2,"[['accuracy', 'reasonably accurate', 2], ['functionality', 'nice', 2], ['syncing with my iphone and strava', 'very easily', 2]]","['accuracy', 'functionality', 'syncing with my iphone and strava']",True
B084M1Q36J,21,but with the help of family and friends its not too much to take on solving a murder right,5.0,[],kindle_store,[],[],False
B07P24XDPW,1,great lightweight laptop bed tray less than 4 lbs,5.0,[],office_products,[],[],False
B0196KA3T2,2,plenty of room below for keyboard or a paper tray,5.0,"[[""room below"", ""plenty"", 2]]",electronics_p2,"[['room below', 'plenty', 2]]",['room below'],True
B00NR1EHP8,4,br i returned it immediately and bought the arris surfboard sbg6900ac which is much better,1.0,"[[""arris surfboard"", ""much better"", 2]]",electronics_p1,"[['arris surfboard', 'much better', 2]]",['arris surfboard'],True
B009T3EYHO,225,browser is nice and fast,5.0,"[[""browser"", ""nice"", 2], [""browser"", ""fast"", 2]]",electronics_p2,"[['browser', 'nice', 2], ['browser', 'fast', 2]]",['browser'],True
B071J3PFJJ,3,other than that it functioned just like i would expect any other [GENERIC_NOUN] to function meaning it was thin turned off the ipad when closed and protected it,5.0,[],electronics_p1,[],[],False
B0010OXEDU,4,br setup with the free tzo service required 2 phone calls to their tech support,3.0,[],electronics_p1,[],[],False
B008ABLJHE,1,print quality is very nice,5.0,"[['print quality', 'very nice', '2']]",office_products,"[['print quality', 'very nice', '2']]",['print quality'],True
B0CDGCH3CR,1,i needed a heavy duty pliertype hand stapler and this [GENERIC_NOUN] is just perfect,5.0,"[['hand stapler', 'perfect', '2']]",office_products,"[['hand stapler', 'perfect', '2']]",['hand stapler'],True
B0063IH60K,744600,and gotta love the price,5.0,"[['price', 'love', 2]]",software,"[['price', 'love', 2]]",['price'],True
B013DG2FNW,1,my niece loves it works well,5.0,"[['niece', 'loves', '2'], ['it', 'works well', '2']]",office_products,"[['niece', 'loves', '2'], ['it', 'works well', '2']]","['niece', 'it']",True
B01MCV3VA4,5,after talking to the [DOMAIN_NOISE] and the manufacturer i decided to rerun it,3.0,[],electronics_p2,[],[],False
B06ZXXX7H3,14,the black tide rebellion is a bone chilling story about surviving in a lonely world,5.0,"[[""black tide rebellion"", ""bone chilling"", 2]]",kindle_store,"[['black tide rebellion', 'bone chilling', 2]]",['black tide rebellion'],True
B07S4GWTLR,1,clown horror done right,5.0,[],kindle_store,[],[],False
B08RLW7918,3,[DOMAIN_NOISE] has incorrect [GENERIC_NOUN] information,1.0,"[[""information"",""incorrect"",0]]",electronics_p1,"[['information', 'incorrect', 0]]",['information'],True
B01B6ZOMIS,3,excellent [GENERIC_NOUN],5.0,[],electronics_p2,[],[],False
B0BNPZKTVJ,1,the handles work nice this is a good mediumheavy weight shrink wrap,5.0,"[['handles', 'work nice', '2'], ['shrink wrap', 'good', '2']]",office_products,"[['handles', 'work nice', '2'], ['shrink wrap', 'good', '2']]","['handles', 'shrink wrap']",True
B00N1XIY5Q,717017,large music choice not too many ads title says it all,4.0,"[['music choice', 'not too many ads', 1]]",software,"[['music choice', 'not too many ads', 1]]",['music choice'],True
B00KWVZ750,8590050562,good game really like the rug elements of this game,5.0,"[['game', 'good', 2], ['rug elements', 'like', 2]]",software,"[['game', 'good', 2], ['rug elements', 'like', 2]]","['game', 'rug elements']",True
B00TE2QPMM,3,saving jay was wonderful and amusing and ended the series off in the best [GENERIC_NOUN],5.0,"[[""saving jay"", ""wonderful"", 2], [""saving jay"", ""amusing"", 2]]",kindle_store,"[['saving jay', 'wonderful', 2], ['saving jay', 'amusing', 2]]",['saving jay'],True
B007F7N11Q,2,i have been searching for a good speaker mic for the baofeng radio,3.0,[],electronics_p2,[],[],False
B09GG9RK5C,2,the slightest touch of the tip to paper makes the pen refill bounce off the page,1.0,[],office_products,[],[],False
B00WX8JTRC,29,br br between mediabridge and monster i think the monster would be marginally better in picture quality and better in sound quality,5.0,[],electronics_p2,[],[],False
B0BD8PMCQJ,1,fits my need i did not like the fact that some of the instructions were not clear like assembling the bottom drawer,4.0,"[['instructions', 'not clear', '0'], ['bottom drawer', 'not clear', '0']]",office_products,"[['instructions', 'not clear', '0'], ['bottom drawer', 'not clear', '0']]","['instructions', 'bottom drawer']",True
B07KJGSZ6S,1,when a young independent widow and mother of two is yentaized with a grumpy handyman by four golden girls the attraction is strong and his secrets are out of this world,3.0,[],kindle_store,[],[],False
B08J91XPGV,8,br br i have a directv dvr which is connected to my tv via hdmi,5.0,[],electronics_p1,[],[],False
B00TJ4XMEO,1,the story was good but a little slow developing for me,3.0,"[[""story"", ""good"", 2], [""story"", ""a little slow developing"", 0]]",kindle_store,"[['story', 'good', 2], ['story', 'a little slow developing', 0]]",['story'],True
B0B1GVN7YQ,20,this family is so easy to love because they love and champion each other,5.0,"[[""family"", ""easy to love"", 2]]",kindle_store,"[['family', 'easy to love', 2]]",['family'],True
B00DB3I4PQ,85899452727,she likes to hear all the animal sounds,5.0,[],software,[],[],False
B01LZZWJRG,2,how could i not after reading a story about vincent a sexy baker and evey who likes to eat [GENERIC_NOUN] of his muffins everyday with a cup of coffee,5.0,[],kindle_store,[],[],False
B08TTH6L4X,1,i always enjoy the first in a new sword and sorcery series and this novel make me want to read more,4.0,"[[""first"", ""enjoy"", 2], [""novel"", ""make me want to read more"", 2]]",kindle_store,"[['first', 'enjoy', 2], ['novel', 'make me want to read more', 2]]","['first', 'novel']",True
B000GD5DS0,60129792428,this fix the bil and for a good price,4.0,[],software,[],[],False
B014JP5POC,1,the first [GENERIC_NOUN] i received arrived warped and did not fit my ipod touch 7th gen despite it saying it does ok,1.0,[],electronics_p2,[],[],False
B000GCFBUG,2,i enjoyed this novel because it was a great mix of interesting characters many of whom have competing interests,4.0,"[[""novel"", ""enjoyed"", 2], [""mix"", ""great"", 2], [""characters"", ""interesting"", 2]]",kindle_store,"[['novel', 'enjoyed', 2], ['mix', 'great', 2], ['characters', 'interesting', 2]]","['novel', 'mix', 'characters']",True
B09772FZTX,1,i then tested it by playing tetris effect a game that requires precise and fast tapping of buttons but the controller could not keep up,1.0,"[[""controller"", ""could not keep up"", 0]]",electronics_p2,"[['controller', 'could not keep up', 0]]",['controller'],True
B0B1M6Q6XC,20,my ipad has remained pristine,5.0,[],electronics_p2,[],[],False
B00L0YLRUW,2,added to comcast wifi to extend range has good range,5.0,"[[""range"", ""good"", 2]]",electronics_p1,"[['range', 'good', 2]]",['range'],True
B07CZ6DCZ7,6,i went back to using the headphone output from my edirol monitors because this headphone amp sounded terrible,1.0,"[[""headphone amp"", ""sounded terrible"", 0]]",electronics_p2,"[['headphone amp', 'sounded terrible', 0]]",['headphone amp'],True
B00CAZ04MW,2,other than that pretty well built phone works well with voisip cloud pbx pretty easy to program and use,3.0,"[['phone', 'well built', '2'], ['phone', 'works well', '2'], ['phone', 'pretty easy to program and use', '2']]",office_products,"[['phone', 'well built', '2'], ['phone', 'works well', '2'], ['phone', 'pretty easy to program and use', '2']]",['phone'],True
B0B3MX7LVG,3,if you snatch the tape off it definitely will pull paint off of your wall but permanently stuck to my wall where moving was impossible,2.0,[],office_products,[],[],False
B00NG7JVSQ,8590223247,if turbotax was so inclined im sure they could have found a [GENERIC_NOUN] to establish [GENERIC_NOUN] consistency without crippling their alleged 34deluxe34 [GENERIC_NOUN] and creating a 34bait and switch34 scenario for many of their customers,1.0,[],software,[],[],False
B006SBBNV0,1,great features included these phones do the job,5.0,[],office_products,[],[],False
B09QD52KWF,2,this book was such a fun read and pulled me out of my slump,4.0,"[[""book"", ""fun read"", 2], [""book"", ""pulled me out of my slump"", 2]]",kindle_store,"[['book', 'fun read', 2], ['book', 'pulled me out of my slump', 2]]",['book'],True
B00QPP7N4U,3,the glass itself seems well manufactured and thin but i can not seem to get it onto my ipad without bubbles,3.0,"[[""glass"", ""well manufactured"", 2], [""glass"", ""thin"", 2], [""glass"", ""can not seem to get it onto my ipad without bubbles"", 0]]",electronics_p2,"[['glass', 'well manufactured', 2], ['glass', 'thin', 2], ['glass', 'can not seem to get it onto my ipad without bubbles', 0]]",['glass'],True
B07Z9LCVCS,2,our router signal just did nt make it across our entire house,5.0,"[[""router signal"", ""did nt make it across our entire house"", 0]]",electronics_p2,"[['router signal', 'did nt make it across our entire house', 0]]",['router signal'],True
B0BCTG71RQ,4,br i used a msi b360 mortar mb with an i5 8400 16gb crucial ddr4 2666 sabrent pcie nvme 500gb seagate 1tb 7200rpm msi rx570 gddr5 4gb open [DOMAIN_NOISE] thermaltake 500w ps,5.0,[],electronics_p1,[],[],False
B00BS3UFCQ,34359955601,guess the movie is very entertaining,5.0,[],software,[],[],False
B01N5YESHO,34360102296,the storyline was very good also in this game,5.0,"[['storyline', 'very good', 2]]",software,"[['storyline', 'very good', 2]]",['storyline'],True
B07YBNHRYX,1,favorite pens in office these are now the favorite pens in the office,4.0,[],office_products,[],[],False
B06VWS336R,85899405339,slight p2w but what mobile game isnt like that,5.0,[],software,[],[],False
B000T8THL6,3,i paid extra for the lightscribe ability only to be totally disappointed,1.0,"[[""lightscribe ability"", ""totally disappointed"", 0]]",electronics_p1,"[['lightscribe ability', 'totally disappointed', 0]]",['lightscribe ability'],True
B09G2SFXSZ,2,no [GENERIC_NOUN] what power supply we plug it into even the anker usb neither cord works properly,3.0,"[[""cord"", ""works properly"", 0]]",electronics_p1,"[['cord', 'works properly', 0]]",['cord'],True
B000A2K4NG,1,[DOMAIN_NOISE] sells the 100 print pack are 30,5.0,[],office_products,[],[],False
B002GEDEJM,1,amazing book but the requiremnts o b able o throw wa insane,5.0,"[[""book"", ""amazing"", 2], [""requirements"", ""insane"", 0]]",kindle_store,"[['book', 'amazing', 2], ['requirements', 'insane', 0]]","['book', 'requirements']",True
B09M53TZ7H,1,apache al 13 13 laminator hotcold for documents or photos so far it works great for what i have been using it for,5.0,"[['apache al 13 13 laminator', 'works great', '2']]",office_products,"[['apache al 13 13 laminator', 'works great', '2']]",['apache al 13 13 laminator'],True
B07KQWX947,48,great sound,2.0,"[['sound', 'great', 2]]",electronics_p2,"[['sound', 'great', 2]]",['sound'],True
B0BK6WLS36,4,when we speak on cellphones our voice gets manic and highpitched,5.0,"[['voice', 'manic and highpitched', 0]]",electronics_p2,"[['voice', 'manic and highpitched', 0]]",['voice'],True
B07HC7M81W,1,i loved the relationship between noah and jjcant wait to read about rj,5.0,"[[""relationship"", ""loved"", 2], [""rj"", ""cant wait to read about"", 2]]",kindle_store,"[['relationship', 'loved', 2], ['rj', 'cant wait to read about', 2]]","['relationship', 'rj']",True
B01CL2LYMM,1,daughter loves it,5.0,"[['daughter', 'loves', '2']]",office_products,"[['daughter', 'loves', '2']]",['daughter'],True
B07L9M1LKQ,11,and in the [GENERIC_NOUN] of recording a tape the record head is before the read head thus you could monitor the output from the tape deck as you recorded the on the tape,5.0,[],electronics_p1,[],[],False
B075PVNG2S,3,white this story is ashs my heart bled for embry to the [GENERIC_NOUN] of tears within the first 30 the tragedy of their love is just so real,5.0,"[[""tragedy"", ""so real"", 2]]",kindle_store,"[['tragedy', 'so real', 2]]",['tragedy'],True
B001N84M2A,1,they informed me that the price i paid for my laptop would be forward to me,5.0,[],electronics_p1,[],[],False
B019R2QU4G,1,the finish on all is well above the norm and they are made well enough to be used for heavy use,5.0,"[[""finish"", ""well above the norm"", 2]]",electronics_p1,"[['finish', 'well above the norm', 2]]",['finish'],True
B09YDHLYRL,1,great battery life the only [GENERIC_NOUN] is ofcourse having to disconnect from the speaker to allow another phone to connect sometimes that takes a minute but it works well,5.0,"[[""battery life"", ""great"", 2], [""speaker"", ""works well"", 2]]",electronics_p1,"[['battery life', 'great', 2], ['speaker', 'works well', 2]]","['battery life', 'speaker']",True
B00WV88Z7Y,77309609099,fire 10 doesnt work for this device,1.0,"[['fire 10', ""doesn't work"", 0]]",software,"[['fire 10', ""doesn't work"", 0]]",['fire 10'],True
B00DJFIMW6,397101,fun fun fun my grandson loves it,4.0,[],software,[],[],False
B0015AB6DO,4,rubber earbuds do nt come off easily a good [GENERIC_NOUN],5.0,"[['rubber earbuds', 'do nt come off easily', 2]]",electronics_p2,"[['rubber earbuds', 'do nt come off easily', 2]]",['rubber earbuds'],True
B00U2MF8WG,1,it was most humbling and emotional to retrace the steps of those fine patriots who literally fought for our freedom,4.0,[],kindle_store,[],[],False
B0C1CPTMG9,12,this computer is great for everyday use it has the perfect specs for just browsing the internet and watching videos at a good speed and loads up applications pretty quick,4.0,"[[""computer"", ""great for everyday use"", 2], [""specs"", ""perfect"", 2], [""speed"", ""good"", 2], [""applications"", ""loads up pretty quick"", 2]]",electronics_p2,"[['computer', 'great for everyday use', 2], ['specs', 'perfect', 2], ['speed', 'good', 2], ['applications', 'loads up pretty quick', 2]]","['computer', 'specs', 'speed', 'applications']",True
B086P836K4,2,teachers look elsewhere,1.0,[],office_products,[],[],False
B00N28818A,204305,always have the same movies,1.0,[],software,[],[],False
B08J7XM7KL,1,perfect size not too big,5.0,"[['size', 'not too big', '1']]",office_products,"[['size', 'not too big', '1']]",['size'],True
B07MTQWQ7X,1,awesome system ever needed to take notes and then rearrange them but a regular notebook binder break and are too large,4.0,[],office_products,[],[],False
